datum,titulek,text,odkaz
2025-05-18,QKD systémy IDQ,Společnost sídlící ve Švýcarsku vyrábí QKD systémy. Nově je vlastněna výrobcem kvantových počítačů IioQ,https://www.idquantique.com/
2025-05-18,IBM Quantum Safe,Quantalock je partnerem IBM - pro evidenci a monitoring kryptování v konkrétních síťových protokolech používáme SW právě této společnosti. IBM je leadr v oblasti bezpečnosti i kvantových pořčítačů.,https://www.ibm.com/quantum/quantum-safe
